show_title,season_title,category,max_weeks,best_rank,entry_rank,tmdb_id,tmdb_rating,tmdb_vote_count,tmdb_popularity,genres,original_language,runtime_minutes,days_since_release,is_korean,is_sequel,budget_usd,avg_cast_popularity,first_week,is_breakout,lang_label
Puss in Boots: The Last Wish,,Films,3,2,10,315162.0,8.2,8627.0,11.9721,Animation|Adventure|Fantasy|Comedy|Family,en,103.0,214.0,0,0,90000000.0,4.73,2023-07-09,0,English
Queen Charlotte: A Bridgerton Story,,TV,2,7,7,196454.0,8.006,650.0,11.4617,Drama,en,,3.0,0,0,,3.05,2023-05-07,0,English
Queen Mantis,Queen Mantis: Season 1,TV,6,1,9,243248.0,7.3,21.0,10.5721,Crime|Mystery|Drama,ko,60.0,2.0,1,0,,1.34,2025-09-07,1,Korean
Queen of Divorce,Queen of Divorce: Season 1,TV,3,5,9,222425.0,6.615,13.0,3.5116,Drama|Crime,ko,80.0,137.0,1,0,,1.42,2024-06-16,0,Korean
Queen of Masks,Queen of Masks: Season 1,TV,8,5,9,215815.0,3.2,10.0,2.4264,Drama|Mystery,ko,80.0,6.0,1,0,,1.26,2023-04-30,1,Korean
Queen of Tears,Queen of Tears: Limited Series,TV,13,1,9,215720.0,8.415,443.0,16.3883,Drama|Comedy,ko,,1.0,1,0,,2.04,2024-03-10,1,Korean
Queenmaker,Queenmaker: Season 1,TV,6,1,8,139280.0,7.3,48.0,3.5452,Drama,ko,,2.0,1,0,,1.52,2023-04-16,1,Korean
RED 2,,Films,1,6,6,146216.0,6.53,4257.0,6.1921,Action|Comedy|Crime|Thriller,en,116.0,3636.0,0,0,84000000.0,5.58,2023-07-02,0,English
Rampage,,Films,3,3,9,427641.0,6.45,7406.0,8.0521,Action|Adventure|Science Fiction,en,107.0,2335.0,0,0,120000000.0,4.83,2024-09-01,0,English
Ranma1/2,Ranma1/2: Season 1,TV,1,10,10,259140.0,8.194,139.0,22.9018,Animation|Action & Adventure|Comedy|Sci-Fi & Fantasy,ja,23.0,7.0,0,0,,2.58,2024-10-13,0,Japanese
Ransomed,,Films,7,1,9,581395.0,6.606,52.0,1.325,Action|Thriller|Drama,ko,132.0,102.0,1,0,0.0,1.95,2023-11-12,1,Korean
Ready or Not,,Films,1,7,7,567609.0,7.04,5094.0,8.0452,Horror|Comedy,en,95.0,1922.0,0,0,6000000.0,2.87,2024-11-24,0,English
Real,,Films,2,4,4,627064.0,5.8,8.0,2.3504,Drama|Romance,en,76.0,2002.0,0,0,0.0,1.71,2025-03-30,0,English
Rebel Moon — Part One: A Child of Fire,,Films,4,1,5,848326.0,6.221,2477.0,8.1356,Science Fiction|Action|Adventure,en,134.0,9.0,0,0,83000000.0,4.38,2023-12-24,1,English
Rebel Moon — Part One: Director’s Cut,,Films,1,4,4,848326.0,6.221,2477.0,8.1356,Science Fiction|Action|Adventure,en,134.0,240.0,0,0,83000000.0,4.38,2024-08-11,0,English
Rebel Moon — Part Two: Director’s Cut,,Films,2,7,7,934632.0,6.055,1415.0,4.8126,Science Fiction|Action|Adventure,en,121.0,107.0,0,0,83000000.0,3.54,2024-08-04,0,English
Rebel Moon — Part Two: The Scargiver,,Films,3,1,7,934632.0,6.055,1415.0,4.8126,Science Fiction|Action|Adventure,en,121.0,2.0,0,0,83000000.0,3.54,2024-04-21,0,English
Rebel Ridge,,Films,3,1,6,646097.0,6.982,1534.0,4.2733,Crime|Action|Thriller,en,130.0,12.0,0,0,0.0,3.22,2024-09-08,0,English
Rebound,,Films,5,1,9,7233.0,5.586,347.0,2.9217,Comedy|Family,en,86.0,6589.0,0,0,45000000.0,3.13,2023-07-16,1,English
Red Balloon,Red Balloon: Season 1,TV,10,3,7,71704.0,6.231,13.0,2.4281,Drama,zh,10.0,2125.0,0,0,,1.22,2023-03-05,1,Other
Red Dragon,,Films,1,7,7,9533.0,7.035,4610.0,1.3788,Crime|Thriller|Horror,en,124.0,7935.0,0,0,78000000.0,5.01,2024-06-23,0,English
Reincarnated as a Sword,,TV,1,10,10,134667.0,7.447,75.0,10.1441,Animation|Comedy|Sci-Fi & Fantasy,ja,23.0,557.0,0,0,,2.18,2024-04-07,0,Japanese
Remember,,Films,3,3,9,302528.0,7.346,739.0,1.1269,Drama|Thriller|Mystery,en,94.0,3117.0,0,0,9600000.0,2.56,2024-05-05,0,English
Renfield,,Films,2,6,8,649609.0,6.455,2053.0,3.2915,Comedy|Fantasy|Horror,en,93.0,198.0,0,0,65000000.0,4.57,2023-10-22,0,English
Reptile,,Films,3,6,7,866463.0,6.666,1162.0,4.0672,Crime|Mystery|Thriller|Drama,en,134.0,2.0,0,0,0.0,3.83,2023-10-01,0,English
Resident Playbook,Resident Playbook: Limited Series,TV,9,1,9,235355.0,7.755,47.0,8.0017,Drama,ko,,1.0,1,0,,1.99,2025-04-13,1,Korean
Retribution,,Films,2,3,7,762430.0,6.551,1321.0,4.7279,Thriller|Action|Adventure,en,91.0,403.0,0,0,20000000.0,3.48,2024-09-29,0,English
Revelations,,Films,5,1,7,689120.0,0.0,0.0,0.7795,,en,35.0,3061.0,0,0,0.0,0.41,2025-03-23,1,English
Rising Impact,Rising Impact: Season 1,TV,1,7,7,241138.0,8.605,38.0,12.8763,Animation|Comedy|Drama,ja,,8.0,0,0,,2.87,2024-06-30,0,Japanese
Rising Impact,Rising Impact: Season 2,TV,1,9,9,241138.0,8.605,38.0,12.8763,Animation|Comedy|Drama,ja,,50.0,0,1,,2.87,2024-08-11,0,Japanese
Risqué Business: Japan,Risqué Business: Japan: Season 1,TV,2,4,9,224229.0,7.2,10.0,3.704,Reality,ko,,5.0,1,0,,1.21,2023-04-30,0,Korean
Risqué Business: Taiwan,Risqué Business: Taiwan: Season 1,TV,1,7,7,233232.0,7.0,6.0,1.5025,Reality,ko,,5.0,1,0,,1.29,2023-09-03,0,Korean
