country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language
South Korea,KR,2025-12-28,TV,4,Badly in Love,Badly in Love: Season 1,3,English
South Korea,KR,2025-12-28,TV,5,The Price of Confession,The Price of Confession: Season 1,4,English
South Korea,KR,2025-12-28,TV,6,Pro Bono,Pro Bono: Limited Series,3,English
South Korea,KR,2025-12-28,TV,7,Physical: Welcome to Mongolia,Physical: Welcome to Mongolia: Season 1,1,English
South Korea,KR,2025-12-28,TV,8,Love Me,Love Me: Season 1,2,English
South Korea,KR,2025-12-28,TV,9,Idol I,Idol I: 시즌 1,1,English
South Korea,KR,2025-12-28,TV,10,Dynamite Kiss,Dynamite Kiss: Limited Series,7,English
South Korea,KR,2025-12-21,Films,1,The Great Flood,,1,English
South Korea,KR,2025-12-21,Films,2,Murder Report,,2,English
South Korea,KR,2025-12-21,Films,3,Wake Up Dead Man: A Knives Out Mystery,,2,English
South Korea,KR,2025-12-21,Films,4,Omniscient Reader: The Prophecy,,3,English
South Korea,KR,2025-12-21,Films,5,Only God knows Everything,,2,English
South Korea,KR,2025-12-21,Films,6,The Call of the Wild,,2,English
South Korea,KR,2025-12-21,Films,7,Pretty Crazy,,4,English
South Korea,KR,2025-12-21,Films,8,Canola,,2,English
South Korea,KR,2025-12-21,Films,9,KPop Demon Hunters,,27,English
South Korea,KR,2025-12-21,Films,10,Labor Day,,2,English
South Korea,KR,2025-12-21,TV,1,Culinary Class Wars,Culinary Class Wars: Season 2,1,English
South Korea,KR,2025-12-21,TV,2,The Price of Confession,The Price of Confession: Season 1,3,English
South Korea,KR,2025-12-21,TV,3,Taxi Driver,Taxi Driver: Season 3,5,English
South Korea,KR,2025-12-21,TV,4,Badly in Love,Badly in Love: Season 1,2,English
South Korea,KR,2025-12-21,TV,5,Pro Bono,Pro Bono: Limited Series,2,English
South Korea,KR,2025-12-21,TV,6,Dynamite Kiss,Dynamite Kiss: Limited Series,6,English
South Korea,KR,2025-12-21,TV,7,Three Idiots in Kenya,Three Idiots in Kenya: Season 1,4,English
South Korea,KR,2025-12-21,TV,8,I am Solo,I am Solo: Part 29 - 32,2,English
South Korea,KR,2025-12-21,TV,9,Don’t Call Me Ma’am,Don’t Call Me Ma’am: Season 1,6,English
South Korea,KR,2025-12-21,TV,10,Love Me,Love Me: Season 1,1,English
South Korea,KR,2025-12-14,Films,1,Murder Report,,1,English
South Korea,KR,2025-12-14,Films,2,Omniscient Reader: The Prophecy,,2,English
