country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
Japan,JP,2026-02-08,Films,9,Akogare Wo Koeta Samurai,,2,1142045.0,movie,Samurai Beyond Their Dreams: Becoming the Best in the World,Documentary,130.0,2023-06-02,7.0,1.0,0.1632,ja,JP,0.0,0.0,Hideki Kuriyama|Shohei Ohtani|Yu Darvish|Lars Nootbaar|Hitoshi Kubota,0.66,Shintaro Miki,,,Released,982.0,0,1,0,20
Japan,JP,2026-02-08,Films,10,Nemesis,,1,24230.0,movie,Nemesis,Science Fiction|Thriller|Action,95.0,1992-12-26,5.356,167.0,3.2802,en,US|DK,0.0,2001124.0,Jackie Earle Haley|Thomas Jane|Brion James|Cary-Hiroyuki Tagawa|Blair Valk,2.2,Albert Pyun,,,Released,12097.0,0,1,0,20
Japan,JP,2026-02-08,TV,1,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible: Season 1",1,250598.0,tv,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",Action & Adventure|Animation|Sci-Fi & Fantasy,24.0,2024-07-02,7.944,89.0,6.8513,ja,JP,,,Katsuyuki Konishi|Misaki Kuno|Kenta Miyake|Saori Onishi|Ryuho Nagaoka,2.39,,1.0,12.0,Ended,586.0,0,1,0,20
Japan,JP,2026-02-08,TV,2,Jujutsu Kaisen,Jujutsu Kaisen: Season 3,5,95479.0,tv,JUJUTSU KAISEN,Animation|Action & Adventure|Sci-Fi & Fantasy,24.0,2020-10-03,8.56,4197.0,185.2808,ja,JP,,,,0.0,,1.0,59.0,Returning Series,1954.0,0,3,1,20
Japan,JP,2026-02-08,TV,3,Frieren: Beyond Journey's End,Frieren: Beyond Journey's End: Season 2,3,209867.0,tv,Frieren: Beyond Journey's End,Animation|Action & Adventure|Drama|Sci-Fi & Fantasy,25.0,2023-09-29,8.771,698.0,91.4523,ja,JP,,,Hiroki Touchi|Atsumi Tanezaki|Nobuhiko Okamoto|Kana Ichinose|Yoji Ueda,1.75,Kanehito Yamada|Keiichiro Saito|Tsukasa Abe,1.0,39.0,Returning Series,863.0,0,2,1,20
Japan,JP,2026-02-08,TV,4,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 2,3,117465.0,tv,Hell's Paradise,Animation|Action & Adventure|Sci-Fi & Fantasy,25.0,2023-04-01,8.142,394.0,69.7477,ja,JP,,,Rie Takahashi|Yumiri Hanamori|Konomi Kohara|Ryohei Kimura|Daiki Yamashita,2.33,Yuji Kaku,1.0,25.0,Returning Series,1044.0,0,2,1,20
Japan,JP,2026-02-08,TV,5,Silent Truth,Silent Truth: Season 1,4,306207.0,tv,Silent Truth,Mystery,,2026-01-13,7.0,1.0,6.2546,ja,JP,,,Noriko Eguchi|Sayuri Inoue|Ryoma Takeuchi|Kana Kita|Mao Inoue,1.35,,1.0,9.0,Returning Series,26.0,0,1,0,20
Japan,JP,2026-02-08,TV,6,【OSHI NO KO】,【OSHI NO KO】: Season 3,3,203737.0,tv,【OSHI NO KO】,Animation|Drama,,2023-04-12,8.343,299.0,37.3041,ja,JP,,,Manaka Iwami|Kent Ito|Takeo Otsuka|Rumi Okubo|Megumi Han,1.83,,1.0,35.0,Returning Series,1033.0,0,3,1,20
Japan,JP,2026-02-08,TV,7,Single’s Inferno,Single’s Inferno: Season 5,3,139798.0,tv,Single's Inferno,Reality|Comedy|Talk,60.0,2021-12-18,7.724,85.0,26.3693,ko,KR,,,Jo Yi-geon|Dex|Lee Da-hee|Hong Jin-kyung|Hanhae,2.58,Kim Jae-won|Kim Na-hyun,5.0,53.0,Returning Series,1513.0,1,5,1,20
Japan,JP,2026-02-08,TV,8,The Boyfriend,The Boyfriend: Season 2,4,256220.0,tv,The Boyfriend,Reality,,2024-07-09,8.35,20.0,5.6435,ja,JP,,,Chiaki Horan|Durian Lollobrigida|MEGUMI|Thelma Aoyama|Yoshimi Tokui,0.95,,2.0,25.0,Returning Series,579.0,0,2,1,20
Japan,JP,2026-02-08,TV,9,Starto Countdown 2025→2026,Starto Countdown 2025→2026: Season 1,4,1612719.0,movie,Starto Countdown 2025→2026,,126.0,,0.0,0.0,0.0256,en,,0.0,0.0,,0.0,,,,Released,,0,1,0,20
Japan,JP,2026-02-08,TV,10,You and I Are Polar Opposites,You and I Are Polar Opposites: Season 1,3,278043.0,tv,You and I Are Polar Opposites,Animation|Comedy,24.0,2026-01-11,8.7,13.0,18.9613,ja,JP,,,Tomori Kusunoki|Sayumi Suzushiro|Miyuri Shimabukuro|Shogo Sakata|Wataru Katoh,1.23,,1.0,12.0,Returning Series,28.0,0,1,0,20
