country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,language,tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,days_since_release,is_korean,season_number,is_sequel,competing_titles_this_week
South Korea,KR,2026-02-08,Films,7,Despicable Me 4,,2,English,519182.0,movie,Despicable Me 4,Family|Comedy|Animation|Science Fiction|Action,94.0,2024-06-20,7.0,3070.0,17.1898,en,US,100000000.0,969597394.0,Sofía Vergara|Joey King|Steve Carell|Miranda Cosgrove|Will Ferrell,5.19,Chris Renaud,,,Released,598.0,0,1,0,20
South Korea,KR,2026-02-08,Films,8,The Ugly,,5,English,40961.0,movie,The Ugly,Horror|Thriller,93.0,1997-08-26,5.909,55.0,0.4945,fr,NZ,0.0,0.0,Katrina Browne|Beth Allen|Darien Takle|Paolo Rotondo|Scott Wills,1.56,Scott Reynolds,,,Released,10393.0,0,1,0,20
South Korea,KR,2026-02-08,Films,9,Pandora,,1,English,1426042.0,movie,Pandora,Drama|Crime,17.0,2025-02-21,0.0,0.0,0.0975,es,,0.0,0.0,Daniel Polanco|Thabata Vó|Alan Oliva,0.03,Nicolás Andrew,,,Released,352.0,0,1,0,20
South Korea,KR,2026-02-08,Films,10,Cosmic Princess Kaguya!,,3,English,1575337.0,movie,Cosmic Princess Kaguya!,Animation|Fantasy|Music|Science Fiction,141.0,2026-01-22,8.3,50.0,17.729,ja,JP,0.0,0.0,Yoshitsugu Matsuoka|Saori Hayami|Maaya Sakamoto|Kenichi Suzumura|Natsuki Hanae,3.43,Shingo Yamashita,,,Released,17.0,0,1,0,20
South Korea,KR,2026-02-08,TV,1,Single’s Inferno,Single’s Inferno: Season 5,3,English,139798.0,tv,Single's Inferno,Reality|Comedy|Talk,60.0,2021-12-18,7.724,85.0,26.3693,ko,KR,,,Jo Yi-geon|Dex|Lee Da-hee|Hong Jin-kyung|Hanhae,2.58,Kim Jae-won|Kim Na-hyun,5.0,53.0,Returning Series,1513.0,1,5,1,20
South Korea,KR,2026-02-08,TV,2,Sergeant Kim at Military,Sergeant Kim at Military: Season 1,1,English,313031.0,tv,Sergeant Kim at Military,Reality,,2026-02-02,6.0,2.0,0.2395,ko,KR,,,Kim Won-hun,0.86,,1.0,2.0,Returning Series,6.0,1,1,0,20
South Korea,KR,2026-02-08,TV,3,Undercover Miss Hong,Undercover Miss Hong: Limited Series,4,English,293608.0,tv,Undercover Miss Hong,Crime|Comedy|Drama,,2026-01-17,7.2,5.0,17.026,ko,KR,,,Go Kyung-pyo|Park Shin-hye|Kim Won-hae|Ha Yoon-kyung|Choi Ji-su,2.23,,1.0,16.0,Returning Series,22.0,1,1,0,20
South Korea,KR,2026-02-08,TV,4,Bake Your Dream,Bake Your Dream: Season 1,1,English,312915.0,tv,Bake Your Dream,Reality,100.0,2026-02-01,0.0,0.0,0.9688,ko,KR,,,Lee Da-hee|Mimi|Kwon Seong-joon|Rho Hee-young,0.84,,1.0,3.0,Ended,7.0,1,1,0,20
South Korea,KR,2026-02-08,TV,5,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,4,English,229891.0,tv,Can This Love Be Translated?,Drama|Comedy,75.0,2026-01-16,8.6,75.0,19.5449,ko,KR,,,Go Youn-jung|Kim Seon-ho|Lee E-dam|Sota Fukushi|Choi Woo-sung,3.09,Hong Jeong-eun|Hong Mi-ran|Yoo Young-eun,1.0,12.0,Ended,23.0,1,1,0,20
South Korea,KR,2026-02-08,TV,6,"uh, but like, seriously!","uh, but like, seriously! 2026",1,English,,,,,,,,,,,,,,,,,,,,,0,1,0,20
South Korea,KR,2026-02-08,TV,7,No Tail to Tell,No Tail to Tell: Limited Series,4,English,270420.0,tv,No Tail to Tell,Sci-Fi & Fantasy|Comedy|Drama,60.0,2026-01-16,7.909,11.0,15.0649,ko,KR,,,Hong Soo-hyun|Lomon|Kim Hye-yoon|Lee Si-woo|Choi Seung-yoon,1.74,Kim Jeong-kwon,1.0,12.0,Returning Series,23.0,1,1,0,20
South Korea,KR,2026-02-08,TV,8,Bridgerton,Bridgerton: Season 4,2,English,91239.0,tv,Bridgerton,Drama,,2020-12-25,8.1,3148.0,114.7094,en,US,,,Claudia Jessie|Ruth Gemmell|Luke Thompson|Golda Rosheuvel|Yerin Ha,4.14,Chris Van Dusen,4.0,32.0,Returning Series,1871.0,0,4,1,20
South Korea,KR,2026-02-08,TV,9,Chef & My Fridge,Chef & My Fridge 2026,1,English,73036.0,tv,Chef & My Fridge,Reality,90.0,2014-11-17,8.5,4.0,18.406,ko,KR,,,Kim Poong|Choi Hyun-seok|Yoon Nam-no|Edward Lee|Jung Ho-young,1.0,,2.0,313.0,Returning Series,4101.0,1,1,0,20
South Korea,KR,2026-02-08,TV,10,To My Beloved Thief,To My Beloved Thief: Season 1,5,English,301886.0,tv,To My Beloved Thief,Sci-Fi & Fantasy|Comedy|Drama,,2026-01-03,9.6,5.0,8.6279,ko,KR,,,Hong Min-gi|Choi Won-young|Nam Ji-hyun|Ha Seok-jin|Moon Sang-min,1.76,,1.0,16.0,Returning Series,36.0,1,1,0,20
South Korea,KR,2026-02-01,Films,1,No Other Choice,,1,English,639988.0,movie,No Other Choice,Crime|Thriller|Comedy,139.0,2025-09-24,7.598,691.0,38.0304,ko,KR|FR,12200000.0,36314308.0,Park Hee-soon|Lee Byung-hun|Son Ye-jin|Yoo Yeon-seok|Kwon Hyuk,2.99,Park Chan-wook,,,Released,130.0,1,1,0,20
South Korea,KR,2026-02-01,Films,2,Missing You,,3,English,390433.0,movie,Missing You,Crime|Thriller,108.0,2016-03-10,7.16,78.0,6.9126,ko,KR,0.0,0.0,Kim Won-hae|Shim Eun-kyung|Jung Hae-kyun|Lee Gap-seon|Jung Chan-hoon,1.38,Mo Hong-jin,,,Released,3615.0,1,1,0,20
South Korea,KR,2026-02-01,Films,3,A Quiet Place: Day One,,2,English,762441.0,movie,A Quiet Place: Day One,Horror|Science Fiction|Thriller,100.0,2024-06-26,6.665,3187.0,9.3517,en,US,67000000.0,261907653.0,Joseph Quinn|Lupita Nyong'o|Djimon Hounsou|Alfie Todd|Eliane Umuhire,3.3,Michael Sarnoski,,,Released,585.0,0,1,0,20
South Korea,KR,2026-02-01,Films,4,Karate Kid: Legends,,1,English,1011477.0,movie,Karate Kid: Legends,Action|Adventure|Drama,94.0,2025-05-08,7.039,1104.0,12.3741,en,US,45000000.0,117105466.0,Jackie Chan|Ming-Na Wen|Joshua Jackson|William Zabka|Aramis Knight,7.1,Jonathan Entwistle,,,Released,269.0,0,1,0,20
South Korea,KR,2026-02-01,Films,5,Despicable Me 4,,1,English,519182.0,movie,Despicable Me 4,Family|Comedy|Animation|Science Fiction|Action,94.0,2024-06-20,7.0,3070.0,17.1898,en,US,100000000.0,969597394.0,Sofía Vergara|Joey King|Steve Carell|Miranda Cosgrove|Will Ferrell,5.19,Chris Renaud,,,Released,591.0,0,1,0,20
South Korea,KR,2026-02-01,Films,6,The Rip,,3,English,1306368.0,movie,The Rip,Action|Thriller|Crime,113.0,2026-01-13,7.063,1202.0,78.6886,en,US,100000000.0,0.0,Ben Affleck|Matt Damon|Scott Adkins|Teyana Taylor|Sasha Calle,6.23,Joe Carnahan,,,Released,19.0,0,1,0,20
South Korea,KR,2026-02-01,Films,7,Bugonia,,1,English,701387.0,movie,Bugonia,Science Fiction|Thriller|Comedy,119.0,2025-10-23,7.363,1435.0,23.759,en,IE|KR|US|CA,50000000.0,40796580.0,Jesse Plemons|Emma Stone|Alicia Silverstone|Stavros Halkias|Marc T. Lewis,4.69,Yorgos Lanthimos,,,Released,101.0,0,1,0,20
South Korea,KR,2026-02-01,Films,8,96 Minutes,,1,English,1271895.0,movie,96 Minutes,Action|Crime|Romance,117.0,2025-09-05,5.852,54.0,78.251,zh,TW,0.0,0.0,Frederick Lee|Wu Chien-Ho|Eleven Yao|Austin Lin|Kent Tsai Fan-Hsi,1.57,Tzu-Hsuan Hung,,,Released,149.0,0,1,0,20
South Korea,KR,2026-02-01,Films,9,Cosmic Princess Kaguya!,,2,English,1575337.0,movie,Cosmic Princess Kaguya!,Animation|Fantasy|Music|Science Fiction,141.0,2026-01-22,8.3,50.0,17.729,ja,JP,0.0,0.0,Yoshitsugu Matsuoka|Saori Hayami|Maaya Sakamoto|Kenichi Suzumura|Natsuki Hanae,3.43,Shingo Yamashita,,,Released,10.0,0,1,0,20
South Korea,KR,2026-02-01,Films,10,The Ugly,,4,English,40961.0,movie,The Ugly,Horror|Thriller,93.0,1997-08-26,5.909,55.0,0.4945,fr,NZ,0.0,0.0,Katrina Browne|Beth Allen|Darien Takle|Paolo Rotondo|Scott Wills,1.56,Scott Reynolds,,,Released,10386.0,0,1,0,20
South Korea,KR,2026-02-01,TV,1,Single’s Inferno,Single’s Inferno: Season 5,2,English,139798.0,tv,Single's Inferno,Reality|Comedy|Talk,60.0,2021-12-18,7.724,85.0,26.3693,ko,KR,,,Jo Yi-geon|Dex|Lee Da-hee|Hong Jin-kyung|Hanhae,2.58,Kim Jae-won|Kim Na-hyun,5.0,53.0,Returning Series,1506.0,1,5,1,20
South Korea,KR,2026-02-01,TV,2,Can This Love Be Translated?,Can This Love Be Translated?: Limited Series,3,English,229891.0,tv,Can This Love Be Translated?,Drama|Comedy,75.0,2026-01-16,8.6,75.0,19.5449,ko,KR,,,Go Youn-jung|Kim Seon-ho|Lee E-dam|Sota Fukushi|Choi Woo-sung,3.09,Hong Jeong-eun|Hong Mi-ran|Yoo Young-eun,1.0,12.0,Ended,16.0,1,1,0,20
South Korea,KR,2026-02-01,TV,3,Undercover Miss Hong,Undercover Miss Hong: Limited Series,3,English,293608.0,tv,Undercover Miss Hong,Crime|Comedy|Drama,,2026-01-17,7.2,5.0,17.026,ko,KR,,,Go Kyung-pyo|Park Shin-hye|Kim Won-hae|Ha Yoon-kyung|Choi Ji-su,2.23,,1.0,16.0,Returning Series,15.0,1,1,0,20
South Korea,KR,2026-02-01,TV,4,No Tail to Tell,No Tail to Tell: Limited Series,3,English,270420.0,tv,No Tail to Tell,Sci-Fi & Fantasy|Comedy|Drama,60.0,2026-01-16,7.909,11.0,15.0649,ko,KR,,,Hong Soo-hyun|Lomon|Kim Hye-yoon|Lee Si-woo|Choi Seung-yoon,1.74,Kim Jeong-kwon,1.0,12.0,Returning Series,16.0,1,1,0,20
South Korea,KR,2026-02-01,TV,5,The Risk Takers,The Risk Takers: Season 1,1,English,312586.0,tv,The Risk Takers,Reality,,2026-01-28,0.0,0.0,0.9652,ko,KR,,,Park Sung-woong|Jang Dong-min|Hong Jin-ho|Pani Bottle|Kwon Seong-joon,1.02,,1.0,12.0,Returning Series,4.0,1,1,0,20
