tmdb_id,tmdb_type,tmdb_title,genres,runtime_minutes,release_date,tmdb_rating,tmdb_vote_count,tmdb_popularity,original_language,production_countries,budget_usd,revenue_usd,top_cast,avg_cast_popularity,director,num_seasons,num_episodes,status,show_title
1642.0,movie,The Net,Crime|Drama|Mystery|Thriller|Action,114.0,1995-07-28,6.0,1478.0,3.0925,en,US,22000000.0,110627965.0,Sandra Bullock|David Winkler|Brad Hill|Wendy Gazelle|Obba Babatundé,3.47,Irwin Winkler,,,Released,The Net
1177450.0,movie,ICAC: Homeward Bound,,51.0,1978-03-01,0.0,0.0,4.2913,cn,HK,0.0,0.0,Damian Lau Chung-Yan|Mary Cheung|Kwan Chung|Tian Qing|May Che Yuet-Mei,1.12,Ann Hui,,,Released,Homeward Bound
1232546.0,movie,Until Dawn,Horror|Mystery,103.0,2025-04-23,6.334,1299.0,5.8059,en,US,15000000.0,54105064.0,Odessa A'zion|Maia Mitchell|Peter Stormare|David F. Sandberg|Ji-young Yoo,2.89,David F. Sandberg,,,Released,Until Dawn
1500536.0,movie,Dead to Rights,Drama|War|History,137.0,2025-07-19,8.0,67.0,3.6758,zh,CN,20000000.0,422785908.0,Liu Haoran|Zhai Yujia|Wang Zhener|Gao Ye|Eric Wang Chuanjun,1.94,Shen Ao,,,Released,Dead to Rights
803796.0,movie,KPop Demon Hunters,Fantasy|Music|Comedy|Animation,96.0,2025-06-20,8.1,2397.0,42.9908,en,US,100000000.0,24690793.0,Lee Byung-hun|Ken Jeong|Liza Koshy|Ahn Hyo-seop|Daniel Dae Kim,2.91,Maggie Kang|Chris Appelhans,,,Released,KPop Demon Hunters
245684.0,tv,Culinary Class Wars,Reality,60.0,2024-09-17,8.476,62.0,13.2212,ko,KR,,,Nam Doh-hyeong|Jung Ho-young|Paik Jong-won|Song Hoon|Raymon Kim,0.81,Kim Hak-min|Kim Eun-ji,2.0,25.0,Returning Series,Culinary Class Wars
117465.0,tv,Hell's Paradise,Animation|Action & Adventure|Sci-Fi & Fantasy,25.0,2023-04-01,8.142,394.0,69.7477,ja,JP,,,Rie Takahashi|Yumiri Hanamori|Konomi Kohara|Ryohei Kimura|Daiki Yamashita,2.33,Yuji Kaku,1.0,25.0,Returning Series,Hell's Paradise: Jigokuraku
982843.0,movie,The Great Flood,Science Fiction|Adventure|Drama,107.0,2025-09-18,5.984,592.0,34.7785,ko,KR,0.0,0.0,Kim Da-mi|Lee Dong-chan|Cho Seung-yeon|Yuna|Kim Byung-nam,1.36,Kim Byung-woo,,,Released,The Great Flood
1034716.0,movie,People We Meet on Vacation,Romance|Comedy|Drama,116.0,2026-01-06,7.023,459.0,13.9759,en,US,1000000.0,0.0,Tom Blyth|Jameela Jamil|Emily Bader|Sarah Catherine Hook|Lucien Laviscount,3.1,Brett Haley,,,Released,People We Meet on Vacation
717787.0,movie,Your Letter,Animation|Drama|Mystery|Adventure,97.0,2025-10-01,7.1,14.0,0.7778,ko,KR,0.0,0.0,Nam Doh-hyeong|Lee Soo-hyun|Kim Yeon-woo|Kim Hyeon-uk|Kim Min-ju,0.96,Kim Yong-hwan,,,Released,Your Letter
1151766.0,movie,Murderer Report,Drama|Thriller,108.0,2025-09-05,7.1,25.0,4.6114,ko,KR,0.0,0.0,Cho Yeo-jeong|Jung Sung-il|Choi Su-im|Kim Tae-han,1.36,Cho Young-jun,,,Released,Murder Report
